id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(stage-4={'1.0'}),population,1.000000,0.000000,775.654054,1145.351831,1240.874302,185,901,716
R1,(op={'0'}),population,1.000000,0.000000,800.710106,1145.351831,1392.180952,376,901,525
R2,(stage-1={'3.0'}),population,1.000000,0.000000,835.796339,1145.351831,1436.894397,437,901,464
R3,(cell-type={'2.0'}),population,0.998588,0.001412,914.655172,1145.351831,1189.599206,145,901,756
R4,(stage-1={'1.0'}),population,1.000000,0.000000,1523.172805,1145.351831,901.974453,353,901,548
R5,(op={'1'}),population,1.000000,0.000000,1392.180952,1145.351831,800.710106,525,901,376
