id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(progrec={'[3.00,20.00)'}) & (pnodes={'[4.00,8.00]'})",population,1.000000,0.000000,573.314286,1124.489796,1154.122888,35,686,651
R1,"(pnodes={'[4.00,8.00]'})",population,1.000000,0.000000,834.720280,1124.489796,1200.801105,143,686,543
R2,"(pnodes={'[4.00,8.00]'}) & (tgrade={'III'})",population,1.000000,0.000000,617.717391,1124.489796,1160.914062,46,686,640
R3,"(pnodes={'[2.00,4.00)'}) & (horTh={'no'}) & (menostat={'Pre'})",population,0.999970,0.000030,790.235294,1124.489796,1151.335433,51,686,635
R4,"(pnodes={'[1.00,2.00)'})",population,0.999560,0.000440,1325.571429,1124.489796,1048.022133,189,686,497
R5,"(progrec={'[63.00,167.00)'}) & (tsize={'[3.00,20.00)'})",population,0.998411,0.001589,1491.450000,1124.489796,1101.767802,40,686,646
R6,"(progrec={'[3.00,20.00)', '[0.00,3.00)'})",population,0.999994,0.000006,932.557621,1124.489796,1248.302158,269,686,417
R7,(horTh={'yes'}),population,0.952762,0.047238,1240.321138,1124.489796,1059.729545,246,686,440
